InvoiceNo,InvoicingDate,InvoicePeriodFrom,InvoicePeriodTo,Organization,Description,SKU,Qty,ListPrice,UnitPrice,LineTotal,Currency
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,11.808,11.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Exchange Online (Plan 2) (NCE) - Monthly,SW-P-O365-8-M1M,4,9.6,7.872,31.49,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Exchange Online Kiosk (NCE) - Monthly,SW-P-O365-10-M1M,1,2.4,1.968,1.97,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,16,26.4,21.648,346.37,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Microsoft Defender for Office 365 (Plan 1) (NCE) - Monthly,SW-P-O365-20-A-M1M,2,2.4,1.968,3.94,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Microsoft Entra ID P2 (NCE) - Monthly,SW-P-O365-2-M1M,1,12,9.84,9.84,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Alder Point,Office 365 E3 (NCE) - Monthly,SW-P-O365-31-M1M,1,31.2,25.584,25.58,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,94.7374,1,0.95,90,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,12.72,10.4304,10.43,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,-1,12.72,8.07514838709677,-8.08,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,9.14167741935484,9.14,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Exchange Online (Plan 1) (NCE) - Monthly,SW-P-O365-7-M1M,6,4.8,3.936,23.62,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,LastPass Bundle,SWLPBUNDLER,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Microsoft 365 Audio Conferencing (NCE) - Monthly,SW-P-O365-9-A-M1M,3,3,3,9,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Microsoft 365 Business Basic (NCE) - Monthly,SW-P-O365-14-M1M,8,8.4,6.888,55.1,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,1,26.4,21.648,21.65,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Microsoft Entra ID P2 (NCE) - Monthly,SW-P-O365-2-M1M,1,12,9.84,9.84,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Microsoft Intune Plan 1 (NCE) - Monthly,SW-P-O365-84-M1M,1,9.6,7.872,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Nimble CRM – NFR 100% Discount,SWNCRM-NFR,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Additional License of Office Protect - NFR 100% Discount,SWALOPR-NFR,12,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Additional License of Office Protect - NFR 100% Discount,SWALOPR-NFR,-1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Internal Lab,Office Protect - NFR 100% Discount,SWOP365R02-NFR,30,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Beacon Freight,Microsoft 365 Business Standard (NCE) - Monthly,SW-P-O365-16-M1M,13,16.8,13.776,179.09,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Cobalt Dental,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,9,26.4,21.648,194.83,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Cobalt Dental,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,1,7.2,5.904,5.9,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Cobalt Dental,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,-1,7.2,5.14219354838709,-5.14,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Cobalt Dental,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,1,8.4,5.99922580645161,6,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Driftwood Films,Microsoft 365 Business Basic Donation (Non-Profit Pricing) (NCE) - Monthly,SW-P-O365-220-M1M,11,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Driftwood Films,Microsoft 365 Business Standard (Non-Profit Pricing) (NCE) - Monthly,SW-P-O365-223-M1M,2,4.03,3.8285,7.66,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,1063.01247,1,0.95,1009.86,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,12.72,10.4304,10.43,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,-1,12.72,8.4116129032258,-8.41,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,9.52258064516129,9.52,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Exchange Online (Plan 1) (NCE) - Monthly,SW-P-O365-7-M1M,1,4.8,3.936,3.94,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,1,8.4,6.888,6.89,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Microsoft Non-profit Segment Activation,SW-P-O365-NCENP,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Elm Street Law,Visio Plan 2 (Non-Profit Pricing) (NCE) - Monthly,SW-P-O365-261-M1M,1,7.2,5.29548387096775,5.3,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Fathom Marine,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,11.808,11.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Fathom Marine,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,-1,14.4,3.42812903225806,-3.43,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Fathom Marine,Microsoft 365 Apps for business (NCE) - Monthly,SW-P-O365-12-M1M,18,12,9.84,177.12,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Fathom Marine,Microsoft 365 Apps for business (NCE) - Monthly,SW-P-O365-12-M1M,-18,12,1.90451612903226,-34.28,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Fathom Marine,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,2,26.4,21.648,43.3,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Fathom Marine,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,-2,26.4,0.69832258064516,-1.4,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Enterprise Mobility + Security E3 (NCE) - Monthly,SW-P-O365-5-M1M,1,14.4,11.808,11.81,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,12,26.4,21.648,259.78,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft 365 Business Premium (NCE) - Monthly,SW-P-O365-15-M1M,1,26.4,12.5698064516129,12.57,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Entra ID P1 (NCE) - Monthly,SW-P-O365-1-M1M,1,8.4,6.888,6.89,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Audio Conferencing includes dial-out to USA/CAN only (NCE) - Monthly,SW-P-O365-91-A-M1M,8,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Domestic Calling Plan (customers outside US/UK/CA) (NCE) - Monthly,SW-P-O365-13-A-M1M,5,14.4,14.4,72,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Domestic Calling Plan (customers outside US/UK/CA) (NCE) - Monthly,SW-P-O365-13-A-M1M,1,14.4,7.89677419354839,7.9,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Phone Resource Account (NCE) - Monthly,SW-P-O365-26-A-M1M,10,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Phone Resource Account (NCE) - Monthly,SW-P-O365-26-A-M1M,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Phone Standard (NCE) - Monthly,SW-P-O365-25-A-M1M,2,12,9.84,19.68,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Phone Standard (NCE) - Monthly,SW-P-O365-25-A-M1M,1,12,5.39612903225806,5.4,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Premium (NCE) - Monthly - Disc.,SW-P-O365-115-M1M,1,12,9.84,9.84,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Microsoft Teams Shared Devices (NCE) - Monthly,SW-P-O365-4-M1M,1,9.6,7.872,7.87,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Bayview Clinic,Teams Phone with Calling Plan (country zone 1 - US) (NCE) - Monthly,SW-P-O365-35-A-M1M,11,20.4,20.4,224.4,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Azure Information Protection Premium P1 (NCE) - Monthly - Disc.,SW-P-O365-3-M1M,2,2.4,1.968,3.94,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Azure Plan,SWAZPL01,1,0,0,0,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Azure Plan Usage (Billed) - Azure Plan Usage (Billed),SWAZPLU02,115.3655,1,0.95,109.6,USD
VND-2026-08-0001,2026-08-20,2026-07-21,2026-08-21,Granite Ridge,Azure Plan - Provision this product to access the Microsoft Azure platform. Contact your account representative for pricing and details.,SWAZPL01,,,,0,USD
